model,cv_mae,mae_increase_vs_full
Without pct_years_any,1.1259160020990562,-0.031182849604848073
Without hsgradratediff,1.128151121109316,-0.028947730594588217
Full 4-predictor log model,1.1570988517039043,0
Without mmr_mean,1.1697958128969206,0.012696961193016332
Without frac_years_below_95,1.2752974296588748,0.11819857795497057
